语料ID,产品ID,产品名称
酒店评论-1001,ID1,茂名君悦商务酒店
酒店评论-1002,ID2,维也纳国际酒店(茂名电白店)
酒店评论-1003,ID3,茂名永利之家
酒店评论-1004,ID4,茂名诚荟酒店
酒店评论-1005,ID5,茂名华景商务酒店
酒店评论-1006,ID6,茂名荔晶大酒店
酒店评论-1007,ID7,好莱登商务宾馆(信宜绍秀体育馆店)
酒店评论-1008,ID8,茂名海豚酒店
酒店评论-1011,ID9,茂名南越印象岭南文化主题酒店火车站店
酒店评论-1013,ID10,茂名卓钰精品酒店
酒店评论-1014,ID11,化州汇嘉大酒店
酒店评论-1016,ID12,茂名海云雁酒店
酒店评论-1017,ID13,茂名威利国际酒店
酒店评论-1018,ID14,茂名柏丽酒店
酒店评论-1019,ID15,城市便捷酒店(茂名学府店)
酒店评论-1022,ID16,茂名观海楼假日酒店
酒店评论-1024,ID17,茂名国际大酒店
酒店评论-1026,ID18,尚客优连锁酒店(茂名高铁火车站店)
酒店评论-1027,ID19,茂名红金鼎商务宾馆
酒店评论-1028,ID20,维也纳国际酒店(茂名高铁火车站店)
酒店评论-1029,ID21,卓越酒店(茂名万达广场店)
酒店评论-1030,ID22,茂名好来登商务酒店
酒店评论-1032,ID23,52连锁酒店(化州店)
酒店评论-1033,ID24,轻住悦享酒店(茂名高铁南站店)
酒店评论-1035,ID25,茂名熹龙国际大酒店
酒店评论-1036,ID26,维也纳国际酒店(茂名万达广场店)
酒店评论-1042,ID27,茂名文汇酒店
酒店评论-1047,ID28,茂名大龙湾酒店
酒店评论-1049,ID29,茂名华燕宾馆
酒店评论-1051,ID30,维也纳3好酒店(茂名沿江大厦店)
酒店评论-1055,ID31,精途酒店(茂名高铁火车站店)
酒店评论-1065,ID32,茂名万达广场雅斯特国际酒店
酒店评论-1071,ID33,华海酒店(茂名高铁站店)
酒店评论-1073,ID34,星悦酒店(茂名文化广场店)
酒店评论-1079,ID35,Q加·茂名大喜假日酒店
酒店评论-1084,ID36,茂名宏悦大酒店
酒店评论-1089,ID37,唐华商务酒店(茂名高铁火车站店)
酒店评论-1092,ID38,化州铭丰假日酒店
