产品ID,产品类型,产品名称,产品热度,年份
ID1,特色餐饮,渔乐码头烤鱼牛蛙晚饭餐厅,0.0049,2018
ID2,景点,高邮,0.0049,2018
ID3,景区,保利银滩浴场,0.0049,2018
ID4,特色餐饮,爱可咖啡馆（茂南店）,0.0049,2018
ID5,酒店,长滩,0.0049,2018
ID6,特色餐饮,果之度（为民店）,0.0049,2018
ID7,景区,湛江森林公园,0.0049,2018
ID8,酒店,拉斯维加斯,0.0049,2018
ID9,景区,放鸡岛生态旅游国际度假区,0.0049,2018
ID10,特色餐饮,清香面包店（车田街店）,0.0049,2018
ID11,酒店,尚客优连锁酒店(茂名高铁火车站店),0.0049,2018
ID12,景区,鸳鸯湖公园,0.0049,2018
ID13,景区,大澳渔村,0.0049,2018
ID14,特色餐饮,尊霸披萨,0.0049,2018
ID15,特色餐饮,优之品西点,0.0049,2018
ID16,景区,阳西咸水矿温泉,0.0049,2018
ID17,景区,海陵岛,0.0049,2018
ID18,景区,茂名滨海新区,0.0049,2018
ID19,景区,月亮湾沙滩浴场,0.0049,2018
ID20,酒店,荔枝贡园,0.0049,2018
ID21,乡村旅游,博贺渔港,0.0049,2018
ID22,景区,金沙湾海滨浴场,0.0049,2018
ID23,景区,沙扒景隆海洋馆,0.0049,2018
ID24,景区,霞山观海长廊,0.0049,2018
ID25,景区,南果花乡,0.0049,2018
ID26,景区,泰山天烛峰顶,0.0049,2018
ID27,景区,金水岩,0.0049,2018
ID28,景区,钦州市八寨沟旅游风景区,0.0049,2018
ID29,景区,鼎龙湾·德萨斯,0.0049,2018
ID30,酒店,茂名永利之家,0.0049,2018
ID31,景区,巴伐利亚庄园,0.0049,2018
ID32,酒店,北部湾,0.0049,2018
ID33,乡村旅游,天矿生态公园,0.0049,2018
ID34,景点,大唐芙蓉园,0.0049,2018
ID35,酒店,维也纳国际酒店(茂名高铁火车站店),0.0049,2018
ID36,景区,根子镇,0.0049,2018
ID37,景点,旅,0.0049,2018
ID38,特色餐饮,旺角亭（为民店）,0.0049,2018
ID39,景区,薰衣草庄园,0.0049,2018
ID40,特色餐饮,CAKE情迷黑森林,0.0049,2018
ID41,酒店,金秀行,0.0049,2018
ID42,特色餐饮,驰名湘菜馆,0.0049,2018
ID43,乡村旅游,茂名博贺渔港,0.0049,2018
ID44,景区,广东鳄人谷生态旅游区,0.0049,2018
ID45,景区,英德,0.0049,2018
ID46,景区,石表山,0.0049,2018
ID47,景区,四川凉山彝族自治州,0.0049,2018
ID48,景区,梵净山,0.0049,2018
ID49,景区,海口市,0.0049,2018
ID50,景区,飞霞风景名胜区,0.0049,2018
ID51,景区,里铺仔村,0.0049,2018
ID52,乡村旅游,双合村,0.0049,2018
ID53,景区,滨海,0.0049,2018
ID54,景区,化州,0.0049,2018
ID55,景点,北京,0.0049,2018
ID56,景区,双山岛,0.0049,2018
ID57,景区,御水古温泉旅游度假区,0.0049,2018
ID58,景区,天露山旅游度假,0.0049,2018
ID59,酒店,中德,0.0049,2018
ID60,景区,镇远古城,0.0049,2018
ID61,景区,硇洲岛,0.0049,2018
ID62,景区,东南亚,0.0049,2018
ID63,景区,冼太庙,0.0049,2018
ID64,景区,名,0.0049,2018
ID65,景区,黄山,0.0049,2018
ID66,景区,中澳友谊花园,0.0049,2018
ID67,酒店,鼎龙湾企鹅酒店,0.0049,2018
ID68,景区,遂溪孔子文化城,0.0049,2018
ID69,景区,广东湾,0.0049,2018
ID70,景区,成都,0.0049,2018
ID71,景区,眉山市,0.0049,2018
ID72,乡村旅游,北逻公园,0.0049,2018
ID73,景区,中,0.0049,2018
ID74,景区,西江温泉度假村,0.0049,2018
ID75,乡村旅游,茂名港,0.0049,2018
ID76,景区,阳春东湖公园,0.0049,2018
ID77,景区,出口商品交易会,0.0049,2018
ID78,景区,黄华江,0.0049,2018
ID79,景区,高州仙人洞景区,0.0049,2018
ID80,乡村旅游,茂名市迎宾馆,0.0049,2018
ID81,景区,中国南极长城站,0.0049,2018
ID82,景区,电白安泰大酒店,0.0049,2018
ID83,景区,德萨斯水,0.0049,2018
ID84,景区,茂南区,0.0049,2018
ID85,景区,来宾市,0.0049,2018
ID86,酒店,城市便捷酒店(茂名学府店),0.0049,2018
ID87,酒店,茂名红金鼎商务宾馆,0.0049,2018
ID88,景点,德萨斯,0.0049,2018
ID89,乡村旅游,电白水东湾,0.0049,2018
ID90,景点,华东,0.0049,2018
ID91,景区,瀛州公园,0.0049,2018
ID92,景区,西藏自治区,0.0049,2018
ID93,景区,茂名滨海新区浪漫海岸旅游度假区,0.0049,2018
ID94,景区,茂名市人民广场,0.0049,2018
ID95,景区,白,0.0049,2018
ID96,景区,民国,0.0049,2018
ID97,景区,四川凉山邛海宾馆,0.0049,2018
ID98,景区,金秀瑶族自治县,0.0049,2018
ID99,景区,十里银滩,0.0049,2018
ID100,景区,御水古温泉,0.0049,2018
ID101,景区,朴树,0.0049,2018
ID102,景区,鹤地水库风景区,0.0049,2018
ID103,景区,水东湾,0.0049,2018
ID104,乡村旅游,湛江机场,0.0049,2018
ID105,特色餐饮,优乐堡（开发区店）,0.0049,2018
ID106,景区,敦煌市,0.0049,2018
ID107,特色餐饮,功夫鸡排（光华北路店）,0.0049,2018
ID108,景区,广垦（茂名）国家热带农业公园,0.0049,2018
ID109,景点,荔枝,0.0049,2018
ID110,景区,厦门,0.0049,2018
ID111,景区,瑶族博物馆,0.0049,2018
ID112,景区,青年湖,0.0049,2018
ID113,景区,浮山岭风景区,0.0049,2018
ID114,景区,化州市,0.0049,2018
ID115,景区,大容山,0.0049,2018
ID116,景区,阳江春都温泉,0.0049,2018
ID117,酒店,茂名观海楼假日酒店,0.0049,2018
ID118,民宿,高州市龙眼公园,0.0049,2018
ID119,景区,石林公园,0.0049,2018
ID120,文创,深圳交易会展中心,0.0049,2018
ID121,景区,荔城,0.0049,2018
ID122,景区,沙扒湾奇乐摩天轮,0.0049,2018
ID123,景区,南国热带花园,0.0049,2018
ID124,景区,海滨公园,0.0049,2018
ID125,景点,茂名维也纳影城,0.0049,2018
ID126,景区,古郡,0.0049,2018
ID127,乡村旅游,来宾市金秀瑶族自治县瑶都广场,0.0049,2018
ID128,乡村旅游,南国,0.0049,2018
ID129,乡村旅游,马头岭,0.0049,2018
ID130,乡村旅游,官渡,0.0049,2018
ID131,乡村旅游,信宜镇,0.0049,2018
ID132,景点,重庆,0.0049,2018
ID133,景点,高州汽车客运站,0.0049,2018
ID134,景点,茂名市站前,0.0049,2018
ID135,景区,博罗,0.0049,2018
ID136,乡村旅游,沙朗,0.0049,2018
ID137,景区,天马山生态旅游区,0.0049,2018
ID138,酒店,茂名国际大酒店,0.0049,2018
ID139,景区,蓝袍湾,0.0049,2018
ID140,景区,苏二村,0.0049,2018
ID141,景区,南三岛,0.0049,2018
ID142,乡村旅游,童子湾,0.0049,2018
ID143,景点,放鸡岛,0.0049,2018
ID144,酒店,茂名卓钰精品酒店,0.0049,2018
ID145,景区,玉湖风景区,0.0049,2018
ID146,景区,世博源,0.0049,2018
ID147,景区,电白浪漫海岸国际旅游度假区,0.0049,2018
ID148,景区,渔港公园,0.0049,2018
ID149,乡村旅游,第一滩,0.0049,2018
ID150,乡村旅游,迎宾东路,0.0049,2018
ID151,景区,金鹿园,0.0049,2018
ID152,乡村旅游,柑,0.0049,2018
ID153,景点,粤东,0.0049,2018
ID154,景区,东海岛,0.0049,2018
ID155,酒店,好莱登商务宾馆(信宜绍秀体育馆店),0.0049,2018
ID156,特色餐饮,瀛食精致料理,0.0049,2018
ID157,乡村旅游,港珠澳大桥,0.0049,2018
ID158,特色餐饮,盛香烧鹅（东方市场店）,0.0049,2018
