语料ID,文本,产品名称,年份,产品ID,情感得分,出现频次,产品热度总分,产品热度,产品类型判断文本,产品类型
餐饮评论-4213,牛排 好吃 菜品 出菜 高赞 贵族 自助 牛排 套餐 建议 单人,贵族自助牛排餐厅（华侨城店）,2021,ID3213,0.4666666666666667,200,600.9333333333333,0.00024304929131663714,餐饮评论-4213 牛排 好吃 菜品 出菜 高赞 贵族 自助 牛排 套餐 建议 单人,特色餐饮
餐饮评论-5892,真的 好吃 超级 味道 不错 超级 好 上菜 很快 浪漫 双人 餐份,法兰度航空主题餐厅（东汇城店）,2021,ID4892,0.42424242424242425,200,600.8484848484849,0.00024301497409213353,餐饮评论-5892 真的 好吃 超级 味道 不错 超级 好 上菜 很快 浪漫 双人 餐份,特色餐饮
餐饮评论-4960,店内 环境 不错 干净 整洁 菜品 味道 不错 服务员 下次 光顾 贵族 自助 牛排 套餐 建议 单人,贵族自助牛排餐厅（华侨城店）,2021,ID3960,0.36363636363636365,200,600.7272727272727,0.00024296594948569977,餐饮评论-4960 店内 环境 不错 干净 整洁 菜品 味道 不错 服务员 下次 光顾 贵族 自助 牛排 套餐 建议 单人,特色餐饮
餐饮评论-7275,好吃 喜欢 韩式 炸鸡 选,Hello炸鸡（方兴店）,2021,ID6275,0.35714285714285715,200,600.7142857142857,0.0002429606968492961,餐饮评论-7275 好吃 喜欢 韩式 炸鸡 选,特色餐饮
餐饮评论-4020,菜品 不错 黄金 鱼排 我滴 最爱 好吃 贵族 牛排 套餐 建议 单人,贵族自助牛排餐厅（华侨城店）,2021,ID3020,0.35,200,600.7,0.00024295491894925217,餐饮评论-4020 菜品 不错 黄金 鱼排 我滴 最爱 好吃 贵族 牛排 套餐 建议 单人,特色餐饮
餐饮评论-7401,上菜 味道 中和 坏境 优美 总结 不错 浪漫 双人 餐份,法兰度航空主题餐厅（东汇城店）,2021,ID6401,0.35,200,600.7,0.00024295491894925217,餐饮评论-7401 上菜 味道 中和 坏境 优美 总结 不错 浪漫 双人 餐份,特色餐饮
餐饮评论-6905,好吃 好 分量 足 环境 好 人餐 包间,椒王火锅（电白店）,2021,ID5905,0.35,200,600.7,0.00024295491894925217,餐饮评论-6905 好吃 好 分量 足 环境 好 人餐 包间,特色餐饮
餐饮评论-5822,差评 差 超级 差无有 回头 无 下次 现 烤羊肉 套餐 建议 人,草原郎烤羊,2021,ID4822,0.30303030303030304,200,600.6060606060606,0.000242916924879266,餐饮评论-5822 差评 差 超级 差无有 回头 无 下次 现 烤羊肉 套餐 建议 人,特色餐饮
餐饮评论-7625,小姐姐 好好 点赞 下次 还会 再 太 喜欢 贵族 自助 牛排 套餐,贵族自助牛排餐厅（华侨城店）,2021,ID6625,0.3,200,600.6,0.00024291447364894434,餐饮评论-7625 小姐姐 好好 点赞 下次 还会 再 太 喜欢 贵族 自助 牛排 套餐,特色餐饮
餐饮评论-4461,第一次 环境 不错 够 宽敞 上菜 速度快 不错 海鲜 挺 还算 下次 还来 贵族 自助 牛排 套餐 建议 单人,贵族自助牛排餐厅（华侨城店）,2021,ID3461,0.2926829268292683,200,600.5853658536586,0.00024290855482450905,餐饮评论-4461 第一次 环境 不错 够 宽敞 上菜 速度快 不错 海鲜 挺 还算 下次 还来 贵族 自助 牛排 套餐 建议 单人,特色餐饮
餐饮评论-5461,孩纸 喜欢 收 碟子 送餐 服务员 好 贵族 牛排 套餐 建议 单人,贵族自助牛排餐厅（华侨城店）,2021,ID4461,0.2916666666666667,200,600.5833333333334,0.00024290773276555968,餐饮评论-5461 孩纸 喜欢 收 碟子 送餐 服务员 好 贵族 牛排 套餐 建议 单人,特色餐饮
餐饮评论-7624,口味 确实 好 环境 好 算是 吃 火锅 环境 灯光 亮 舒服 人餐 包间,椒王火锅（电白店）,2021,ID6624,0.2894736842105263,200,600.578947368421,0.0002429059588488795,餐饮评论-7624 口味 确实 好 环境 好 算是 吃 火锅 环境 灯光 亮 舒服 人餐 包间,特色餐饮
