语料ID,文本,产品名称,年份,产品ID,情感得分,出现频次,产品热度总分,产品热度,产品类型判断文本,产品类型
餐饮评论-1307,不错 家里 妹妹 喜欢 讲 很漂亮 味道 不错 感谢 蛋糕 选约 磅 圆,清香面包店（车田街店）,2018,ID307,0.3235294117647059,125,375.6470588235294,0.0012635600833518456,餐饮评论-1307 不错 家里 妹妹 喜欢 讲 很漂亮 味道 不错 感谢 蛋糕 选约 磅 圆,特色餐饮
餐饮评论-1308,没错 这次 蓝色 近两年 好像 吃 这家 蛋糕 高 老板 芭比娃娃 卡通 蛋糕 水果 夹心 约 磅 圆,清香面包店（车田街店）,2018,ID308,0.3018867924528302,125,375.60377358490564,0.0012634144852473517,餐饮评论-1308 没错 这次 蓝色 近两年 好像 吃 这家 蛋糕 高 老板 芭比娃娃 卡通 蛋糕 水果 夹心 约 磅 圆,特色餐饮
餐饮评论-1355,话 不多 说 老板 人好 细心 蛋糕 好吃 好 依旧 水果 忌廉 夹心 蛋糕 一层 约 磅 圆,清香面包店（车田街店）,2018,ID355,0.2926829268292683,125,375.5853658536585,0.0012633525673542588,餐饮评论-1355 话 不多 说 老板 人好 细心 蛋糕 好吃 好 依旧 水果 忌廉 夹心 蛋糕 一层 约 磅 圆,特色餐饮
餐饮评论-1904,挺 好看 味道 还行 奶油 不腻 水果 有点 酸 水果 忌廉 夹心 蛋糕 二层 约 磅 圆,清香面包店（车田街店）,2019,ID904,0.2894736842105263,125,375.57894736842104,0.0012633309775625882,餐饮评论-1904 挺 好看 味道 还行 奶油 不腻 水果 有点 酸 水果 忌廉 夹心 蛋糕 二层 约 磅 圆,特色餐饮
餐饮评论-1013,太好了 太 好吃 老板 好性 价比高 买 次 蛋糕 芭比娃娃 卡通 蛋糕 水果 夹心 约 磅 圆,清香面包店（车田街店）,2018,ID13,0.2631578947368421,125,375.5263157894737,0.0012631539412708895,餐饮评论-1013 太好了 太 好吃 老板 好性 价比高 买 次 蛋糕 芭比娃娃 卡通 蛋糕 水果 夹心 约 磅 圆,特色餐饮
餐饮评论-1310,忘 评论 嘿嘿 好吃 水果 忌廉 夹心 蛋糕 一层 约 磅 圆,清香面包店（车田街店）,2018,ID310,0.23076923076923078,125,375.46153846153845,0.0012629360504503371,餐饮评论-1310 忘 评论 嘿嘿 好吃 水果 忌廉 夹心 蛋糕 一层 约 磅 圆,特色餐饮
餐饮评论-1315,好 家里人 喜欢 一点 不腻 水果 忌廉 蛋糕 层个 约 磅 圆,清香面包店（车田街店）,2018,ID315,0.21875,125,375.4375,0.0012628551925286478,餐饮评论-1315 好 家里人 喜欢 一点 不腻 水果 忌廉 蛋糕 层个 约 磅 圆,特色餐饮
餐饮评论-1289,好看 好吃 磅 水果 夹心 蛋糕 份,清香面包店（车田街店）,2018,ID289,0.16666666666666666,125,375.3333333333333,0.001262504808201327,餐饮评论-1289 好看 好吃 磅 水果 夹心 蛋糕 份,特色餐饮
餐饮评论-1002,超级 好吃 老板 好量 水果 忌廉 夹心 蛋糕 二层 约 磅 圆,清香面包店（车田街店）,2018,ID2,0.14814814814814814,125,375.2962962962963,0.0012623802271071688,餐饮评论-1002 超级 好吃 老板 好量 水果 忌廉 夹心 蛋糕 二层 约 磅 圆,特色餐饮
餐饮评论-1632,做出 想要 蛋糕 水果 忌廉 蛋糕 层个 约 磅 圆,清香面包店（车田街店）,2018,ID632,0.14285714285714285,125,375.2857142857143,0.0012623446325088377,餐饮评论-1632 做出 想要 蛋糕 水果 忌廉 蛋糕 层个 约 磅 圆,特色餐饮
餐饮评论-1376,颜值 美味 齐飞 好吃 不腻 好 水果 忌廉 夹心 蛋糕 二层 约 磅 圆,清香面包店（车田街店）,2018,ID376,0.14285714285714285,125,375.2857142857143,0.0012623446325088377,餐饮评论-1376 颜值 美味 齐飞 好吃 不腻 好 水果 忌廉 夹心 蛋糕 二层 约 磅 圆,特色餐饮
餐饮评论-1931,好吃 比较 便宜 栗子 蛋糕 约 英寸 圆形,清香面包店（车田街店）,2019,ID931,0.11764705882352941,125,375.2352941176471,0.0012621750347167904,餐饮评论-1931 好吃 比较 便宜 栗子 蛋糕 约 英寸 圆形,特色餐饮
餐饮评论-1669,好 榴莲 味道 很足 吃 超级 棒 好 喜欢 吃 有点 麻烦 下次 收到 短信 回复 一下 字 好 样子 知道 对方 收到 知道 生意 好 嘻嘻 嘻嘻 嘻嘻 榴莲 千层 蛋糕 约 磅 圆,清香面包店（车田街店）,2018,ID669,0.11538461538461539,125,375.2307692307692,0.0012621598144021192,餐饮评论-1669 好 榴莲 味道 很足 吃 超级 棒 好 喜欢 吃 有点 麻烦 下次 收到 短信 回复 一下 字 好 样子 知道 对方 收到 知道 生意 好 嘻嘻 嘻嘻 嘻嘻 榴莲 千层 蛋糕 约 磅 圆,特色餐饮
餐饮评论-1290,蛋糕 美味 好吃 店家 好 约定 帮 送 蛋糕 水果 忌廉 夹心 蛋糕 二层 约 磅 圆,清香面包店（车田街店）,2018,ID290,0.1111111111111111,125,375.22222222222223,0.001262131064918852,餐饮评论-1290 蛋糕 美味 好吃 店家 好 约定 帮 送 蛋糕 水果 忌廉 夹心 蛋糕 二层 约 磅 圆,特色餐饮
餐饮评论-1138,不错 好吃 做 蛋糕 速度 很快 水果 忌廉 蛋糕 层个 约 磅 圆,清香面包店（车田街店）,2018,ID138,0.1111111111111111,125,375.22222222222223,0.001262131064918852,餐饮评论-1138 不错 好吃 做 蛋糕 速度 很快 水果 忌廉 蛋糕 层个 约 磅 圆,特色餐饮
