产品ID,产品类型,产品名称,产品热度,年份
ID1,特色餐饮,盛香烧鹅（东方市场店）,0.0018813648558466433,2018
ID2,特色餐饮,清香面包店（车田街店）,0.0025457336978708723,2018
ID3,特色餐饮,功夫鸡排（光华北路店）,0.0007009250223269974,2018
ID4,特色餐饮,茂名浪漫海岸温德姆酒店望海餐厅,0.0007753503648337682,2018
ID5,特色餐饮,优之品西点,0.0017067309888446104,2018
ID6,特色餐饮,旺角亭（为民店）,0.0008910828089964556,2018
ID7,特色餐饮,鲜滋味蛋糕·季念日生日蛋糕（茂南区店）,0.00045152756540319444,2018
ID8,特色餐饮,鲜饮时光（高州店）,0.00022576378270159722,2018
ID9,特色餐饮,喜相逢渝洲川菜酒楼（东方大道店）,0.0003111003321438277,2018
ID10,特色餐饮,驰名湘菜馆,0.0006932544438513692,2018
ID11,特色餐饮,甜在心扉千层蛋糕（茂名店）,0.001128818913507986,2018
ID12,特色餐饮,果之度（迎宾三路店）,0.00045152756540319444,2018
ID13,特色餐饮,小乔紫菜卷（小乔店）,0.000892793140683589,2018
ID14,特色餐饮,爱可咖啡馆（茂南店）,0.0013598792072407058,2018
ID15,特色餐饮,爱丽丝音乐餐吧,0.0007183393085959911,2018
ID16,特色餐饮,丰年面包店（茂南区店）,7.354426254673248e-05,2018
ID17,特色餐饮,尊霸披萨,0.000752019686434924,2018
ID18,特色餐饮,渔乐码头烤鱼牛蛙晚饭餐厅,0.0006157194073679923,2018
ID19,特色餐饮,瀛食精致料理,0.000974099677810388,2018
ID20,特色餐饮,优乐堡（开发区店）,0.0010980329431395865,2018
ID21,特色餐饮,茂香面包坊总店,-8.062992239342756e-05,2018
ID22,特色餐饮,果之度（为民店）,0.0015598224986655808,2018
ID23,特色餐饮,相聚时光（光明店）,0.0008984942463073668,2018
ID24,特色餐饮,CAKE情迷黑森林,0.0005270931290347208,2018
ID25,酒店,茂名君悦商务酒店,0.0013032727455955838,2018
ID26,酒店,维也纳国际酒店(茂名电白店),2.0523980245599748e-05,2018
ID27,酒店,茂名永利之家,0.0004570745870911944,2018
ID28,酒店,茂名诚荟酒店,0.0008962138040578554,2018
ID29,酒店,茂名华景商务酒店,0.001204599763645585,2018
ID30,酒店,茂名荔晶大酒店,0.0004357398882911946,2018
ID31,酒店,好莱登商务宾馆(信宜绍秀体育馆店),0.00020377380386702603,2018
ID32,酒店,茂名海豚酒店,-0.00015221952015486475,2018
ID33,酒店,茂名南越印象岭南文化主题酒店火车站店,0.00045626386853679434,2018
ID34,酒店,茂名卓钰精品酒店,2.0523980245599748e-05,2018
ID35,酒店,化州汇嘉大酒店,-0.0005495865821321709,2018
ID36,酒店,茂名海云雁酒店,0.0017308556673789116,2018
ID37,酒店,茂名威利国际酒店,0.0004481069020289277,2018
ID38,酒店,茂名柏丽酒店,2.0523980245599748e-05,2018
ID39,酒店,城市便捷酒店(茂名学府店),0.00023108481461712302,2018
ID40,酒店,茂名观海楼假日酒店,0.00108948128470392,2018
ID41,酒店,茂名国际大酒店,2.0523980245599748e-05,2018
ID42,酒店,尚客优连锁酒店(茂名高铁火车站店),2.0523980245599748e-05,2018
ID43,酒店,茂名红金鼎商务宾馆,0.0003515559196907569,2018
ID44,酒店,维也纳国际酒店(茂名高铁火车站店),2.0523980245599748e-05,2018
ID45,酒店,卓越酒店(茂名万达广场店),2.0523980245599748e-05,2018
ID46,酒店,茂名好来登商务酒店,0.0005906345426233704,2018
ID47,景区,中国第一滩旅游度假区,0.0013249369469659391,2018
ID48,景区,广垦（茂名）国家热带农业公园,0.0005507268032569264,2018
ID49,景区,西江温泉度假村,0.00013433877978938016,2018
ID50,景区,石根山,0.00045285169316097506,2018
ID51,景区,天马山生态旅游区,0.0003489076641751957,2018
ID52,景区,阳江春都温泉,0.00010261990122799872,2018
ID53,景区,阳西青洲岛,-0.0001006652364427035,2018
ID54,景区,海滨公园,0.00010261990122799872,2018
ID55,景区,维纳斯皇家温泉（广东阳西店）,0.0013454609272115388,2018
ID56,景区,渔港公园,0.0010150041139642058,2018
ID57,景区,广东海洋大学,0.0006727304636057694,2018
ID58,景区,金鹿园,-0.00010794093314352457,2018
ID59,景区,水东湾,0.00015555016607191386,2018
ID60,景区,海东度假村,0.0005507268032569264,2018
ID61,景区,天堂湖温泉度假山庄,0.0002589179046367968,2018
ID62,景区,寸金动物园,2.0523980245599748e-05,2018
ID63,景区,崆峒岩风景区,0.00029479898898225094,2018
ID64,景区,湛江博物馆,6.157194073679925e-05,2018
ID65,景区,湛江海湾大桥,0.0004357398882911946,2018
ID66,景区,瀛州公园,0.0003990243601237532,2018
ID67,景区,御水古温泉旅游度假区,0.000587827844470126,2018
ID68,景区,龙海天,0.0005075020569821029,2018
ID69,景区,沙扒湾,0.00023975740559632435,2018
ID70,景区,闸坡,0.0004711781847872793,2018
ID71,景区,放鸡岛生态旅游国际度假区,0.0003342476782854816,2018
ID72,景区,蓝袍湾,0.0004666504982157416,2018
ID73,景区,高州仙人洞景区,0.00047805856425726234,2018
ID74,景区,苏二村,0.001204599763645585,2018
