产品1,产品2,关联度,关联类型
ID229,ID290,0.38330000000000003,景点-景区
ID290,ID229,0.38330000000000003,景区-景点
ID13,ID229,0.3733,特色餐饮-景点
ID13,ID290,0.3733,特色餐饮-景区
ID229,ID13,0.3733,景点-特色餐饮
ID290,ID13,0.3733,景区-特色餐饮
ID28,ID119,0.3533,酒店-特色餐饮
ID119,ID28,0.3533,特色餐饮-酒店
ID206,ID241,0.3433,景点-酒店
ID206,ID276,0.3433,景点-景区
ID241,ID206,0.3433,酒店-景点
ID241,ID276,0.3433,酒店-景区
ID276,ID206,0.24887998,景区-景点
ID276,ID241,0.24887998,景区-酒店
ID300,ID378,0.22887998,景区-景区
ID378,ID300,0.22887998,景区-景区
ID142,ID381,0.21887998000000003,酒店-景点
ID381,ID142,0.21887998000000003,景点-酒店
ID243,ID357,0.21887998000000003,酒店-酒店
ID357,ID243,0.21887998000000003,酒店-酒店
ID265,ID379,0.21887998000000003,酒店-景区
ID379,ID265,0.21887998000000003,景区-酒店
ID74,ID80,0.21887998000000003,景区-景区
ID80,ID74,0.21887998000000003,景区-景区
ID264,ID381,0.20887998000000002,酒店-景点
ID381,ID264,0.20887998000000002,景点-酒店
ID75,ID361,0.20887998000000002,景区-景区
ID361,ID75,0.20887998000000002,景区-景区
ID85,ID86,0.20887998000000002,景区-景区
ID86,ID85,0.20887998000000002,景区-景区
ID154,ID265,0.15167,景区-酒店
ID265,ID154,0.15167,酒店-景区
ID346,ID378,0.15167,特色餐饮-景区
ID378,ID346,0.15167,景区-特色餐饮
ID69,ID265,0.15167,景区-酒店
ID265,ID69,0.15167,酒店-景区
ID34,ID239,0.15167,酒店-特色餐饮
ID34,ID265,0.15167,酒店-酒店
ID239,ID34,0.15167,特色餐饮-酒店
ID239,ID265,0.15167,特色餐饮-酒店
ID265,ID34,0.15167,酒店-酒店
ID265,ID239,0.15167,酒店-特色餐饮
ID69,ID247,0.15167,景区-酒店
ID247,ID69,0.15167,酒店-景区
ID247,ID265,0.15167,酒店-酒店
ID265,ID247,0.15167,酒店-酒店
ID34,ID154,0.12334400000000001,酒店-景区
ID154,ID34,0.12334400000000001,景区-酒店
ID154,ID239,0.12334400000000001,景区-特色餐饮
